Station,District,Latitude,Longitude,timestamp,month,day_of_year,rainfall_mm,rainfall_previous,rainfall_3_obs,rainfall_6_obs,river_level,river_level_change,river_level_rolling_mean_3,river_level_rolling_max_6,time_gap_hours,sequence_id,target_timestamp,future_timestamp,future_river_level,actual_forecast_gap_hours,future_river_level_change
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 03:00:00,3,84,3.0,18.0,28.0,28.0,0.508,-0.043,0.4526666666666667,0.551,13.0,3,2022-03-25 09:00:00,2022-03-25 10:00:00,0.426,7.0,-0.08200000000000002
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 04:00:00,3,84,1.0,3.0,22.0,29.0,0.44,-0.068,0.4996666666666667,0.551,1.0,3,2022-03-25 10:00:00,2022-03-25 10:00:00,0.426,6.0,-0.014000000000000012
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 05:00:00,3,84,1.0,1.0,5.0,30.0,0.42,-0.02,0.4559999999999999,0.551,1.0,3,2022-03-25 11:00:00,2022-03-25 10:00:00,0.426,5.0,0.006000000000000005
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 06:00:00,3,84,1.0,1.0,3.0,31.0,0.371,-0.0489999999999999,0.4103333333333332,0.551,1.0,3,2022-03-25 12:00:00,2022-03-25 10:00:00,0.426,4.0,0.05499999999999999
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 10:00:00,3,84,1.0,1.0,3.0,25.0,0.426,0.0549999999999999,0.4056666666666666,0.551,4.0,3,2022-03-25 16:00:00,2022-03-25 15:00:00,0.494,5.0,0.068
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 15:00:00,3,84,1.0,1.0,3.0,8.0,0.494,0.068,0.4303333333333333,0.508,5.0,3,2022-03-25 21:00:00,2022-03-25 21:00:00,0.363,6.0,-0.131
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-17 11:00:00,7,198,1.0,2.0,4.0,8.0,2.621,0.4199999999999999,1.6833333333333336,2.621,263.0,10,2022-07-17 17:00:00,2022-07-17 19:00:00,2.55,8.0,-0.07100000000000017
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-30 17:00:00,7,211,1.0,1.0,3.0,6.0,1.995,0.8980000000000001,1.588,2.492,30.0,18,2022-07-30 23:00:00,2022-07-30 23:00:00,2.032,6.0,0.03699999999999992
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-30 21:00:00,7,211,1.0,1.0,3.0,6.0,2.057,0.0619999999999998,1.7163333333333333,2.219,4.0,18,2022-07-31 03:00:00,2022-07-31 02:00:00,1.956,5.0,-0.10099999999999998
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-31 11:00:00,7,212,1.0,1.0,3.0,6.0,2.019,0.0630000000000001,2.002333333333333,2.057,9.0,18,2022-07-31 17:00:00,2022-07-31 16:00:00,1.029,5.0,-0.9900000000000002
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-31 16:00:00,7,212,1.0,1.0,3.0,6.0,1.029,-0.9900000000000002,1.668,2.057,5.0,18,2022-07-31 22:00:00,2022-07-31 20:00:00,1.468,4.0,0.43900000000000006
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-31 20:00:00,7,212,1.0,1.0,3.0,6.0,1.468,0.439,1.5053333333333334,2.057,4.0,18,2022-08-01 02:00:00,2022-08-01 00:00:00,1.594,4.0,0.1260000000000001
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 00:00:00,8,213,1.0,1.0,3.0,6.0,1.594,0.1260000000000001,1.3636666666666668,2.032,4.0,18,2022-08-01 06:00:00,2022-08-01 06:00:00,0.929,6.0,-0.665
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 04:00:00,8,213,1.0,1.0,3.0,6.0,1.272,-0.322,1.4446666666666663,2.019,4.0,18,2022-08-01 10:00:00,2022-08-01 11:00:00,1.024,7.0,-0.248
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 06:00:00,8,213,1.0,1.0,3.0,6.0,0.929,-0.3429999999999999,1.265,2.019,2.0,18,2022-08-01 12:00:00,2022-08-01 11:00:00,1.024,5.0,0.09499999999999997
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 08:00:00,8,213,1.0,1.0,3.0,6.0,0.859,-0.07,1.0199999999999998,1.594,2.0,18,2022-08-01 14:00:00,2022-08-01 13:00:00,0.84,5.0,-0.019000000000000017
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 11:00:00,8,213,1.0,1.0,3.0,6.0,1.024,0.165,0.9373333333333336,1.594,3.0,18,2022-08-01 17:00:00,2022-08-01 17:00:00,0.848,6.0,-0.17600000000000005
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 13:00:00,8,213,1.0,1.0,3.0,6.0,0.84,-0.184,0.9076666666666666,1.594,2.0,18,2022-08-01 19:00:00,2022-08-01 20:00:00,0.997,7.0,0.15700000000000003
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 15:00:00,8,213,1.0,1.0,3.0,6.0,0.872,0.032,0.912,1.272,2.0,18,2022-08-01 21:00:00,2022-08-01 20:00:00,0.997,5.0,0.125
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 17:00:00,8,213,1.0,1.0,3.0,6.0,0.848,-0.024,0.8533333333333334,1.024,2.0,18,2022-08-01 23:00:00,2022-08-02 00:00:00,1.114,7.0,0.2660000000000001
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 20:00:00,8,213,1.0,1.0,3.0,6.0,0.997,0.149,0.9056666666666668,1.024,3.0,18,2022-08-02 02:00:00,2022-08-02 03:00:00,1.147,7.0,0.15000000000000002
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 00:00:00,8,214,1.0,1.0,3.0,6.0,1.114,0.1170000000000001,0.9863333333333334,1.114,4.0,18,2022-08-02 06:00:00,2022-08-02 07:00:00,1.363,7.0,0.2489999999999999
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 03:00:00,8,214,1.0,1.0,3.0,6.0,1.147,0.0329999999999999,1.086,1.147,3.0,18,2022-08-02 09:00:00,2022-08-02 10:00:00,1.323,7.0,0.17599999999999993
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-02 07:00:00,8,214,1.0,1.0,3.0,6.0,1.363,0.2159999999999999,1.2080000000000002,1.363,4.0,18,2022-08-02 13:00:00,2022-08-02 13:00:00,1.487,6.0,0.12400000000000011
