Station,District,Latitude,Longitude,timestamp,month,day_of_year,rainfall_mm,rainfall_previous,rainfall_3_obs,rainfall_6_obs,river_level,river_level_change,river_level_rolling_mean_3,river_level_rolling_max_6
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-28 09:00:00,2,59,7.0,0.0,7.0,7.0,0.299,0.0,0.299,0.299
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-24 14:00:00,3,83,18.0,7.0,25.0,25.0,0.551,0.25200000000000006,0.42500000000000004,0.551
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 03:00:00,3,84,3.0,18.0,28.0,28.0,0.508,-0.04300000000000004,0.4526666666666667,0.551
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 04:00:00,3,84,1.0,3.0,22.0,29.0,0.44,-0.068,0.4996666666666667,0.551
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 05:00:00,3,84,1.0,1.0,5.0,30.0,0.42,-0.020000000000000018,0.45599999999999996,0.551
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 06:00:00,3,84,1.0,1.0,3.0,31.0,0.371,-0.04899999999999999,0.41033333333333327,0.551
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 10:00:00,3,84,1.0,1.0,3.0,25.0,0.426,0.05499999999999999,0.4056666666666666,0.551
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 15:00:00,3,84,1.0,1.0,3.0,8.0,0.494,0.068,0.4303333333333333,0.508
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-25 21:00:00,3,84,1.0,1.0,3.0,6.0,0.363,-0.131,0.42766666666666664,0.494
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-26 17:00:00,3,85,1.0,1.0,3.0,6.0,0.001,-0.362,0.286,0.494
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-27 04:00:00,3,86,1.0,1.0,3.0,6.0,0.175,0.174,0.17966666666666664,0.494
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-28 02:00:00,3,87,1.0,1.0,3.0,6.0,0.285,0.10999999999999999,0.15366666666666662,0.494
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-29 11:00:00,3,88,1.0,1.0,3.0,6.0,0.387,0.10200000000000004,0.28233333333333327,0.494
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-03-31 16:00:00,3,90,1.0,1.0,3.0,6.0,0.31,-0.07700000000000001,0.3273333333333333,0.387
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-04-07 10:00:00,4,97,1.0,1.0,3.0,6.0,0.172,-0.138,0.28966666666666663,0.387
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-04-07 11:00:00,4,97,2.0,1.0,4.0,7.0,0.131,-0.04099999999999998,0.20433333333333328,0.387
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-04-07 12:00:00,4,97,1.0,2.0,4.0,7.0,0.151,0.01999999999999999,0.1513333333333333,0.387
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-04-07 13:00:00,4,97,1.0,1.0,4.0,7.0,0.228,0.07700000000000001,0.16999999999999996,0.387
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-06 12:00:00,7,187,2.0,1.0,4.0,8.0,2.201,1.973,0.86,2.201
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-17 11:00:00,7,198,1.0,2.0,4.0,8.0,2.621,0.41999999999999993,1.6833333333333336,2.621
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-17 19:00:00,7,198,1.0,1.0,4.0,8.0,2.55,-0.07100000000000017,2.457333333333333,2.621
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-18 07:00:00,7,199,1.0,1.0,3.0,7.0,2.548,-0.0019999999999997797,2.573,2.621
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-19 01:00:00,7,200,1.0,1.0,3.0,7.0,2.61,0.06199999999999983,2.5693333333333332,2.621
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-20 07:00:00,7,201,1.0,1.0,3.0,7.0,2.614,0.0040000000000000036,2.5906666666666665,2.621
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-22 03:00:00,7,203,1.0,1.0,3.0,6.0,2.492,-0.12199999999999989,2.572,2.621
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-25 02:00:00,7,206,1.0,1.0,3.0,6.0,2.219,-0.27300000000000013,2.4416666666666664,2.614
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-26 12:00:00,7,207,1.0,1.0,3.0,6.0,1.982,-0.23699999999999988,2.231,2.614
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-28 00:00:00,7,209,1.0,1.0,3.0,6.0,1.672,-0.31000000000000005,1.9576666666666664,2.614
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-29 11:00:00,7,210,1.0,1.0,3.0,6.0,1.097,-0.575,1.5836666666666666,2.614
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-30 17:00:00,7,211,1.0,1.0,3.0,6.0,1.995,0.8980000000000001,1.5879999999999999,2.492
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-30 21:00:00,7,211,1.0,1.0,3.0,6.0,2.057,0.06199999999999983,1.7163333333333333,2.219
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-30 23:00:00,7,211,1.0,1.0,3.0,6.0,2.032,-0.02499999999999991,2.028,2.057
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-31 02:00:00,7,212,1.0,1.0,3.0,6.0,1.956,-0.07600000000000007,2.015,2.057
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-31 11:00:00,7,212,1.0,1.0,3.0,6.0,2.019,0.06300000000000017,2.002333333333333,2.057
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-31 16:00:00,7,212,1.0,1.0,3.0,6.0,1.029,-0.9900000000000002,1.668,2.057
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-07-31 20:00:00,7,212,1.0,1.0,3.0,6.0,1.468,0.43900000000000006,1.5053333333333334,2.057
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 00:00:00,8,213,1.0,1.0,3.0,6.0,1.594,0.1260000000000001,1.3636666666666668,2.032
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-08-01 04:00:00,8,213,1.0,1.0,3.0,6.0,1.272,-0.32200000000000006,1.4446666666666665,2.019
