Station,District,Latitude,Longitude,timestamp,rainfall_mm
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-01-31 00:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-01-31 01:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-01-31 22:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-02-01 00:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-01 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-13 00:00:00,5.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-13 20:00:00,5.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-13 21:00:00,7.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-14 19:00:00,4.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-15 02:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-16 13:00:00,3.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-21 00:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-28 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-06-28 04:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-01 07:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-01 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-01 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-01 16:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-01 17:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-01 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-02 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-02 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-04 18:00:00,2.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-05 20:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-07 09:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-07 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-08 22:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-10 06:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-10 07:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-10 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-13 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-16 05:00:00,5.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-16 06:00:00,5.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-16 07:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-07-18 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-09-26 02:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-10 03:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-10 06:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-10 07:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-10 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-10 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-10 14:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-10 21:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-11 23:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-12 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-15 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-15 23:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-16 05:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-19 06:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-10-21 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-11-04 14:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-11-08 20:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-11-15 23:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-11-19 05:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-11-30 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-12-09 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2024-12-15 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-01-06 02:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-01-15 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-12 18:00:00,95.1
